group_key,group_key_type,file_id,n_candidates,n_with_datetime,is_selected,analysis_updated_datetime,workflow_type,workflow_version,workflow_mixed_flag,tie_break_applied,reason_code,api_fetch_status,dataset
C383391,case_id,7743562d-00ba-4721-90e7-d60944f537a0,1,1,TRUE,2024-07-12T16:24:11.564747-05:00,STAR - Counts,eecca6e2e475aab335bd7c365025ca0d0daa144b,FALSE,FALSE,single_candidate,ok,RNA_grade2
C3N-01199,case_id,d517ce77-165b-4cbe-8292-7350c5228107,1,1,TRUE,2023-11-07T10:57:23.231898-06:00,STAR - Counts,61fd5ef8ab410a784da2e89eca063ca3c66998ec,FALSE,FALSE,single_candidate,ok,RNA_grade2
C760878,case_id,c5a36860-7e71-458a-86ee-a1c2d74e1854,1,1,TRUE,2024-07-12T16:24:11.564747-05:00,STAR - Counts,eecca6e2e475aab335bd7c365025ca0d0daa144b,FALSE,FALSE,single_candidate,ok,RNA_grade2
TCGA-CS-4938-01B,sample_id,a282f56a-0884-40d2-b099-acf15dead7c7,1,1,TRUE,2022-01-19T13:10:50.513712-06:00,STAR - Counts,5d8c131bbff59fb0c969217fc1d44e6d1503cd1f,FALSE,FALSE,single_candidate,ok,RNA_grade2
TCGA-CS-4944-01A,sample_id,ddda9728-45af-4d0b-b6de-0c85e3a93ff8,1,1,TRUE,2022-01-19T13:10:50.513712-06:00,STAR - Counts,5d8c131bbff59fb0c969217fc1d44e6d1503cd1f,FALSE,FALSE,single_candidate,ok,RNA_grade2
TCGA-CS-5390-01A,sample_id,146ff077-a728-492d-a33b-b8e4ccaa16f1,1,1,TRUE,2022-01-19T13:10:50.513712-06:00,STAR - Counts,5d8c131bbff59fb0c969217fc1d44e6d1503cd1f,FALSE,FALSE,single_candidate,ok,RNA_grade2
TCGA-CS-5395-01A,sample_id,f2298168-e5da-464b-9a5f-d1f6a01e4068,1,1,TRUE,2022-01-19T13:10:50.513712-06:00,STAR - Counts,5d8c131bbff59fb0c969217fc1d44e6d1503cd1f,FALSE,FALSE,single_candidate,ok,RNA_grade2
TCGA-CS-6186-01A,sample_id,97a3cfa9-1504-406d-819c-c75fa4e42c24,1,1,TRUE,2022-01-19T13:10:50.513712-06:00,STAR - Counts,5d8c131bbff59fb0c969217fc1d44e6d1503cd1f,FALSE,FALSE,single_candidate,ok,RNA_grade2
TCGA-CS-6667-01A,sample_id,2a54e344-4f90-4de3-a507-d4667aa07728,1,1,TRUE,2022-01-19T13:10:50.513712-06:00,STAR - Counts,5d8c131bbff59fb0c969217fc1d44e6d1503cd1f,FALSE,FALSE,single_candidate,ok,RNA_grade2
TCGA-CS-6668-01A,sample_id,63dd6d04-3055-49d1-b666-3f8ca739edc3,1,1,TRUE,2022-01-19T13:10:50.513712-06:00,STAR - Counts,5d8c131bbff59fb0c969217fc1d44e6d1503cd1f,FALSE,FALSE,single_candidate,ok,RNA_grade2
