analysis,subset,gene,n_mut,n_wt,median_diff,HL_estimate,p_wilcox,p_BH,cliffs_delta,effect_size_label
28gene_Grade4,Grade4,B2M,147,295,0.019316569534668204,-0.04393864389801899,0.6052340266142888,0.8532660231909982,-0.030185633575464083,negligible
28gene_Grade4,Grade4,TAP1,147,295,-0.03517980502330076,-0.08961781456545206,0.267490539889242,0.8062661083713446,-0.06472962066182406,negligible
28gene_Grade4,Grade4,TAP2,147,295,0.026017802007811675,0.037550613552128964,0.6689576703252808,0.8532660231909982,0.024974057419578,negligible
28gene_Grade4,Grade4,TAPBP,147,295,0.021609312245374213,0.006651004159245372,0.9225572710484573,0.9225572710484573,0.005695837657096737,negligible
28gene_Grade4,Grade4,HLA-A,147,295,-0.03316597402087673,-0.03478940348298353,0.6764557402077768,0.8532660231909982,-0.024374495560936238,negligible
28gene_Grade4,Grade4,HLA-B,147,295,-0.03015101020516653,-0.027027823243520852,0.8040031192403042,0.8976001867266034,-0.014504784964833392,negligible
28gene_Grade4,Grade4,HLA-C,147,295,-0.037920770385937885,-0.0626238386917415,0.5485894550113662,0.8532660231909982,-0.03502824858757062,negligible
28gene_Grade4,Grade4,NLRC5,147,295,0.11218730864050475,0.047394991266973545,0.6115939786780277,0.8532660231909982,0.029655251931280987,negligible
28gene_Grade4,Grade4,STAT1,147,295,0.009623409774658143,0.03425078331127306,0.7008970904783199,0.8532660231909982,0.022437449556093624,negligible
28gene_Grade4,Grade4,IRF1,147,295,-0.06436870896404523,-0.10572158393308173,0.20902161440338557,0.8010014960095937,-0.07333102732618471,negligible
28gene_Grade4,Grade4,IRF9,147,295,0.17303945267330167,0.16879579781613893,0.0708030444993971,0.6608284153277063,0.1054537069064914,negligible
28gene_Grade4,Grade4,CXCL9,147,295,-0.17205775466300421,-0.11394062113263399,0.22885757028845533,0.8010014960095937,-0.07024097774703102,negligible
28gene_Grade4,Grade4,CXCL10,147,295,-0.08005271397865021,-0.19270579831083268,0.2879521815611945,0.8062661083713446,-0.062031592297936124,negligible
28gene_Grade4,Grade4,CXCL11,147,295,-0.265734802890492,-0.23647305754454317,0.02183657172435619,0.30571200414098665,-0.1338406549060302,negligible
28gene_Grade4,Grade4,GBP1,147,295,0.029362257483960263,-0.11746703163835866,0.3863679617452628,0.8532660231909982,-0.05057073676928398,negligible
28gene_Grade4,Grade4,GBP2,147,295,-0.04204199974309475,-0.03443100121252887,0.8058381107874175,0.8976001867266034,-0.01436642453591606,negligible
28gene_Grade4,Grade4,GBP4,147,295,-0.1775705413552351,-0.1786856147675412,0.11928576153068879,0.7902631671274476,-0.09092586187017179,negligible
28gene_Grade4,Grade4,GBP5,147,295,-0.03509568913990013,-0.016652247773615545,0.8734676628115718,0.9058183169897781,-0.009316268880433529,negligible
28gene_Grade4,Grade4,IDO1,147,295,-0.07410271954755265,-0.04679376676977691,0.20915404039001123,0.8010014960095937,-0.07330796725469849,negligible
28gene_Grade4,Grade4,CD3D,147,295,-0.01765350631541196,-0.1460160802829079,0.14111842270132993,0.7902631671274476,-0.08589876628617549,negligible
28gene_Grade4,Grade4,CD3E,147,295,-0.05451829995303592,-0.04051500060112336,0.49120426734001316,0.8532660231909982,-0.04019370460048426,negligible
28gene_Grade4,Grade4,CD3G,147,295,-0.02781490938831871,-0.022766408510960436,0.39049741891472667,0.8532660231909982,-0.050132595411045776,negligible
28gene_Grade4,Grade4,CD8A,147,295,0.004148459795728643,-0.026976837043823865,0.6965088588581224,0.8532660231909982,-0.022783350628386947,negligible
28gene_Grade4,Grade4,CD8B,147,295,-0.004336327403171303,-0.012204622347946394,0.48327767655940973,0.8532660231909982,-0.04093162688804335,negligible
28gene_Grade4,Grade4,GZMA,147,295,0.015344941238349952,-0.021735035673083783,0.8334858876747031,0.8976001867266034,-0.012291018102156116,negligible
28gene_Grade4,Grade4,GZMB,147,295,0.05947586914723901,0.029007704775234237,0.6373239755731195,0.8532660231909982,0.0275337253545486,negligible
28gene_Grade4,Grade4,PRF1,147,295,-0.10149298798423478,-0.06195166650772109,0.5887840387425175,0.8532660231909982,-0.03156923786463738,negligible
28gene_Grade4,Grade4,LAG3,147,295,0.2882524803541201,0.2613246067548714,7.127335501394375e-7,1.995653940390425e-5,0.2893347169376225,small
28gene_Grade2,Grade2,B2M,144,161,0.19093234624905264,0.24635380317465969,0.004422904347281268,0.017691617389125072,0.18883712905452035,small
28gene_Grade2,Grade2,TAP1,144,161,-0.0895925975612677,-0.07200481293268884,0.39464323227798326,0.6500006178696195,-0.056504485852311936,negligible
28gene_Grade2,Grade2,TAP2,144,161,0.008776659418332944,0.015505987175011395,0.7837606771780242,0.9404241689928576,0.018245341614906832,negligible
28gene_Grade2,Grade2,TAPBP,144,161,0.022245466215060183,0.005045125959011779,0.9259105666959271,0.9404241689928576,0.006211180124223602,negligible
28gene_Grade2,Grade2,HLA-A,144,161,0.28920000853594097,0.22220896013744684,0.018473247372368058,0.0574723251584784,0.15631469979296067,small
28gene_Grade2,Grade2,HLA-B,144,161,0.3105333515133317,0.2831097300080767,0.009667634802438003,0.03383672180853301,0.17167011732229123,small
28gene_Grade2,Grade2,HLA-C,144,161,0.18852915750671428,0.1644527692502607,0.11038679793397797,0.2726404650996938,0.10593512767425811,negligible
28gene_Grade2,Grade2,NLRC5,144,161,0.5656534155171564,0.5180199031333643,1.43772847472917e-10,2.012819864620838e-9,0.42533643892339545,medium
28gene_Grade2,Grade2,STAT1,144,161,-0.06736980078417609,-0.0363052886483982,0.6060790624910644,0.879916281102172,-0.03424775707384403,negligible
28gene_Grade2,Grade2,IRF1,144,161,0.1120622239334097,0.09507029932101828,0.17390836052761255,0.3261686929680028,0.09023464458247067,negligible
28gene_Grade2,Grade2,IRF9,144,161,0.1965729795564155,0.14702066423767582,0.08171497086598523,0.2288019184247586,0.11551069703243616,negligible
28gene_Grade2,Grade2,CXCL9,144,161,-0.0950505057950442,-0.05019801248510005,0.25241234337490015,0.44172160090607526,-0.07595755693581781,negligible
28gene_Grade2,Grade2,CXCL10,144,161,-0.029506601890223028,-0.010012970157284053,0.9295276258383598,0.9404241689928576,-0.005909247757073844,negligible
28gene_Grade2,Grade2,CXCL11,144,161,0.04291025446485536,0.02573596607917282,0.6197714805918983,0.879916281102172,0.032953761214630777,negligible
28gene_Grade2,Grade2,GBP1,144,161,0.484908294870404,0.44778795617428946,5.093523267145089e-4,0.0028523730296012495,0.23059006211180125,small
28gene_Grade2,Grade2,GBP2,144,161,1.5582470902949783,1.4350658795816553,8.205426978638489e-17,2.297519554018777e-15,0.5524499654934437,large
28gene_Grade2,Grade2,GBP4,144,161,0.04369398526718138,0.03046415428502958,0.7269356769240587,0.9251908615397111,0.023205659075224292,negligible
28gene_Grade2,Grade2,GBP5,144,161,0.1814879711518672,0.14766850030333986,2.848866782618387e-6,2.658942330443828e-5,0.3105590062111801,small
28gene_Grade2,Grade2,IDO1,144,161,0.0012747784804676907,3.9961775064681305e-5,0.9404241689928576,0.9404241689928576,0.004830917874396135,negligible
