subset,comparison,n_mut,n_wt,median_mut,median_wt,median_diff,cliffs_delta,p_wilcox,p_BH,prespecified,effect_label
Grade4_all,Hotspot_vs_WT,40,295,1.1211979431147368,0.734221866220779,0.38697607689395774,0.3764406779661017,1.1197818571658339e-4,3.359345571497502e-4,TRUE,medium
Grade4_all,Truncating_vs_WT,24,295,1.244725256942238,0.734221866220779,0.510503390721459,0.35706214689265536,0.0036390499688622193,0.0036390499688622193,TRUE,medium
Grade4_all,Other_missense_vs_WT,83,295,0.9057359776670264,0.734221866220779,0.1715141114462474,0.22777210537063508,0.0015223037534332665,0.0022834556301499,FALSE,small
Grade4_TCGA,Hotspot_vs_WT,24,166,0.9150172850347239,0.6396001317077274,0.27541715332699646,0.3990963855421687,0.0016046289058026003,0.002797672372932794,TRUE,medium
Grade4_TCGA,Truncating_vs_WT,14,166,1.1345340888891915,0.6396001317077274,0.49493395718146405,0.23493975903614459,0.1455424142440496,0.1455424142440496,TRUE,small
Grade4_TCGA,Other_missense_vs_WT,41,166,0.947927931238094,0.6396001317077274,0.3083277995303666,0.31413458712900383,0.0018651149152885296,0.002797672372932794,FALSE,small
Grade4_CPTAC,Hotspot_vs_WT,16,129,1.268372739410954,0.902729639233376,0.36564310017757806,0.40406976744186046,0.008581303368844889,0.012871955053267332,TRUE,medium
Grade4_CPTAC,Truncating_vs_WT,10,129,1.527934297348568,0.902729639233376,0.6252046581151919,0.6093023255813953,0.001377021429255264,0.0041310642877657915,TRUE,large
Grade4_CPTAC,Other_missense_vs_WT,42,129,0.9050811351342669,0.902729639233376,0.0023514959008908987,0.07936507936507936,0.44146423162795073,0.44146423162795073,FALSE,negligible
Grade4_IDH_WT,Hotspot_vs_WT,27,290,0.9469553866431188,0.7258283857280243,0.22112700091509452,0.26309067688378035,0.023816686046946933,0.023816686046946933,TRUE,small
Grade4_IDH_WT,Truncating_vs_WT,20,290,1.253259497625202,0.7258283857280243,0.5274311118971777,0.4182758620689655,0.0017638230925481487,0.005291469277644446,TRUE,medium
Grade4_IDH_WT,Other_missense_vs_WT,73,290,0.8526381170789891,0.7258283857280243,0.12680973135096474,0.20009447331128957,0.00823142812300877,0.012347142184513157,FALSE,small
