cohort,gene,n_mut,n_wt,median_mut,median_wt,median_diff,hl_estimate,cliffs_delta,effect_size_cat,p_wilcox,p_BH,significant,zero_rate_mut,zero_rate_wt,zero_rate_all,tied_warning,note
GDC_Grade4_CPTAC,CD274,68,129,2.8411,2.7804,0.0607,0.005,0.003,negligible,0.9737891770393778,0.9737891770393778,FALSE,0,0,0,FALSE,ok
GDC_Grade4_CPTAC,CTLA4,68,129,0.6008,0.6502,-0.0494,-0.0242,-0.0308,negligible,0.723687009827547,0.9737891770393778,FALSE,0.0147,0.0233,0.0203,FALSE,ok
GDC_Grade4_CPTAC,HAVCR2,68,129,5.2234,5.0651,0.1583,0.0499,0.0308,negligible,0.723688257637974,0.9737891770393778,FALSE,0,0,0,FALSE,ok
GDC_Grade4_CPTAC,LAG3,68,129,1.0956,0.9027,0.1928,0.1832,0.2337,small,0.007083268990718198,0.024791441467513692,TRUE,0,0,0,FALSE,ok
GDC_Grade4_CPTAC,PDCD1,68,129,1.1134,1.3861,-0.2728,-0.2697,-0.2547,small,0.0033384318281165395,0.023369022796815776,TRUE,0,0,0,FALSE,ok
GDC_Grade4_CPTAC,PDCD1LG2,68,129,3.4927,3.2993,0.1934,0.1704,0.1088,negligible,0.21039414855170976,0.4909196799539895,FALSE,0,0,0,FALSE,ok
GDC_Grade4_CPTAC,TIGIT,68,129,1.3659,1.3025,0.0635,0.0029,0.0032,negligible,0.9716931585659807,0.9737891770393778,FALSE,0,0,0,FALSE,ok
GDC_Grade4_IDH_WT,CD274,120,290,2.465,2.4772,-0.0123,0.0248,0.0135,negligible,0.8295705437158062,0.8295705437158062,FALSE,0,0,0,FALSE,ok
GDC_Grade4_IDH_WT,CTLA4,120,290,0.5157,0.5347,-0.019,-0.0263,-0.0369,negligible,0.5568038747159321,0.7059636173925498,FALSE,0.0167,0.0207,0.0195,FALSE,ok
GDC_Grade4_IDH_WT,HAVCR2,120,290,5.2527,5.2229,0.0298,-0.1017,-0.0637,negligible,0.310375675965159,0.7059636173925498,FALSE,0,0,0,FALSE,ok
GDC_Grade4_IDH_WT,LAG3,120,290,0.9803,0.7258,0.2545,0.217,0.2506,small,6.494684040355297e-5,4.5462788282487075e-4,TRUE,0,0,0,FALSE,ok
