cohort,gene,term,beta,ci_lower,ci_upper,se,p_value,n,r_squared,note,p_BH,significant
GDC_Grade4_CPTAC,CD274,tp53_bin,0.0841,-0.2075,0.3757,0.1479,0.5703229376965832,197,0.0451,ok,0.6294151924480276,FALSE
GDC_Grade4_CPTAC,CTLA4,tp53_bin,-0.0478,-0.2286,0.133,0.0917,0.6027590302418541,197,0.008,ok,0.6294151924480276,FALSE
GDC_Grade4_CPTAC,HAVCR2,tp53_bin,0.0796,-0.1792,0.3385,0.1312,0.5447382570635045,197,0.0195,ok,0.6294151924480276,FALSE
GDC_Grade4_CPTAC,LAG3,tp53_bin,0.1352,-0.0097,0.2801,0.0735,0.0672863580607916,197,0.0577,ok,0.4710045064255412,FALSE
GDC_Grade4_CPTAC,PDCD1,tp53_bin,-0.1136,-0.3234,0.0962,0.1064,0.2867390858979545,197,0.0864,ok,0.6294151924480276,FALSE
GDC_Grade4_CPTAC,PDCD1LG2,tp53_bin,0.1914,-0.0628,0.4456,0.1289,0.13914356640492984,197,0.0244,ok,0.4870024824172544,FALSE
GDC_Grade4_CPTAC,TIGIT,tp53_bin,-0.0454,-0.2308,0.14,0.094,0.6294151924480276,197,0.0038,ok,0.6294151924480276,FALSE
GDC_Grade4_IDH_WT,CD274,tp53_bin,-0.0299,-0.249,0.1892,0.1115,0.7884524848906145,410,0.1286,ok,0.7884524848906145,FALSE
GDC_Grade4_IDH_WT,CTLA4,tp53_bin,-0.0844,-0.2205,0.0517,0.0692,0.22350132354806762,410,0.0165,ok,0.5215030882788245,FALSE
GDC_Grade4_IDH_WT,HAVCR2,tp53_bin,-0.1517,-0.3438,0.0403,0.0977,0.12121152369683288,410,0.006,ok,0.4242403329389151,FALSE
GDC_Grade4_IDH_WT,LAG3,tp53_bin,0.2592,0.1373,0.3811,0.062,3.556274855291189e-5,410,0.0515,ok,2.4893923987038326e-4,TRUE
GDC_Grade4_IDH_WT,PDCD1,tp53_bin,-0.0279,-0.1634,0.1076,0.0689,0.6860418029765609,410,0.0825,ok,0.7884524848906145,FALSE
GDC_Grade4_IDH_WT,PDCD1LG2,tp53_bin,0.0663,-0.1369,0.2695,0.1034,0.5217092757201967,410,0.06,ok,0.7884524848906145,FALSE
GDC_Grade4_IDH_WT,TIGIT,tp53_bin,0.0255,-0.0892,0.1402,0.0583,0.6623181350228176,410,0.385,ok,0.7884524848906145,FALSE
GDC_Grade4_TCGA,CD274,tp53_bin,-0.1127,-0.4143,0.1889,0.15310000000000001,0.4624909157088758,245,0.0319,ok,0.5687334041203077,FALSE
GDC_Grade4_TCGA,CTLA4,tp53_bin,-0.0892,-0.2782,0.0998,0.0959,0.35339115483661687,245,0.0062,ok,0.5687334041203077,FALSE
GDC_Grade4_TCGA,HAVCR2,tp53_bin,-0.2884,-0.5668,-0.0101,0.1413,0.042273797425585714,245,0.0263,ok,0.14795829098955,FALSE
GDC_Grade4_TCGA,LAG3,tp53_bin,0.375,0.1866,0.5635,0.0957,1.1539232881547646e-4,245,0.088,ok,8.077463017083352e-4,TRUE
GDC_Grade4_TCGA,PDCD1,tp53_bin,0.0574,-0.1053,0.2201,0.0826,0.4874857749602637,245,0.0536,ok,0.5687334041203077,FALSE
GDC_Grade4_TCGA,PDCD1LG2,tp53_bin,-0.0201,-0.3152,0.275,0.1498,0.8933578783474051,245,0.0231,ok,0.8933578783474051,FALSE
GDC_Grade4_TCGA,TIGIT,tp53_bin,0.0713,-0.0602,0.2027,0.0667,0.2866281931351312,245,0.0124,ok,0.5687334041203077,FALSE
GDC_Grade4_all,CD274,tp53_bin,-0.0181,-0.2277,0.1914,0.1066,0.8650079804933224,442,0.1575,ok,0.8650079804933224,FALSE
GDC_Grade4_all,CTLA4,tp53_bin,-0.0682,-0.1988,0.0625,0.0665,0.3055896149449013,442,0.0188,ok,0.7130424348714364,FALSE
