cohort,gene,gene_label,n_mut,n_wt,median_mut,median_wt,median_diff,cliffs_delta,p_wilcox,p_BH_wilcox,sig_wilcox,beta,ci_95,p_value_reg,p_BH_reg,sig_reg,r_squared
GDC_Grade4_all,LAG3,LAG3,147,295,1.0225,0.7342,0.288,0.289,7.13e-7,4.99e-6,TRUE,0.2617,"[+0.141, +0.383]",2.7e-5,1.89e-4,TRUE,0.0799
GDC_Grade4_all,PDCD1,PDCD1 (PD-1),147,295,0.9667,1.1632,-0.196,-0.126,0.0316,0.111,FALSE,-0.0185,"[-0.148, +0.111]",0.779,0.865,FALSE,0.1321
GDC_Grade4_all,CD274,CD274 (PD-L1),147,295,2.316,2.4509,-0.135,-0.052,0.369,0.478,FALSE,-0.0181,"[-0.228, +0.191]",0.865,0.865,FALSE,0.1575
GDC_Grade4_all,PDCD1LG2,PDCD1LG2 (PD-L2),147,295,3.1534,3.0983,0.055,0.005,0.927,0.927,FALSE,0.0749,"[-0.122, +0.271]",0.454,0.795,FALSE,0.0811
GDC_Grade4_all,CTLA4,CTLA4,147,295,0.515,0.5313,-0.016,-0.048,0.41,0.478,FALSE,-0.0682,"[-0.199, +0.062]",0.306,0.713,FALSE,0.0188
GDC_Grade4_all,TIGIT,TIGIT,147,295,0.8445,0.7698,0.075,0.066,0.262,0.458,FALSE,0.0166,"[-0.094, +0.127]",0.767,0.865,FALSE,0.3931
GDC_Grade4_all,HAVCR2,HAVCR2 (TIM-3),147,295,5.2175,5.2099,0.008,-0.072,0.215,0.458,FALSE,-0.112,"[-0.303, +0.079]",0.25,0.713,FALSE,0.0157
GDC_Grade4_TCGA,LAG3,LAG3,79,166,0.9773,0.6396,0.338,0.326,3.78e-5,2.65e-4,TRUE,0.375,"[+0.187, +0.564]",1.15e-4,8.08e-4,TRUE,0.088
GDC_Grade4_TCGA,PDCD1,PDCD1 (PD-1),79,166,0.9121,0.9101,0.002,-0.056,0.483,0.483,FALSE,0.0574,"[-0.105, +0.220]",0.487,0.569,FALSE,0.0536
GDC_Grade4_TCGA,CD274,CD274 (PD-L1),79,166,1.8271,2.0443,-0.217,-0.115,0.146,0.334,FALSE,-0.1127,"[-0.414, +0.189]",0.462,0.569,FALSE,0.0319
GDC_Grade4_TCGA,PDCD1LG2,PDCD1LG2 (PD-L2),79,166,2.5866,2.852,-0.266,-0.093,0.238,0.334,FALSE,-0.0201,"[-0.315, +0.275]",0.893,0.893,FALSE,0.0231
GDC_Grade4_TCGA,CTLA4,CTLA4,79,166,0.4279,0.5048,-0.077,-0.082,0.298,0.347,FALSE,-0.0892,"[-0.278, +0.100]",0.353,0.569,FALSE,0.0062
GDC_Grade4_TCGA,TIGIT,TIGIT,79,166,0.5376,0.4563,0.081,0.103,0.194,0.334,FALSE,0.0713,"[-0.060, +0.203]",0.287,0.569,FALSE,0.0124
GDC_Grade4_TCGA,HAVCR2,HAVCR2 (TIM-3),79,166,5.2175,5.2665,-0.049,-0.144,0.0691,0.242,FALSE,-0.2884,"[-0.567, -0.010]",0.0423,0.148,FALSE,0.0263
GDC_Grade4_CPTAC,LAG3,LAG3,68,129,1.0956,0.9027,0.193,0.234,0.00708,0.0248,TRUE,0.1352,"[-0.010, +0.280]",0.0673,0.471,FALSE,0.0577
GDC_Grade4_CPTAC,PDCD1,PDCD1 (PD-1),68,129,1.1134,1.3861,-0.273,-0.255,0.00334,0.0234,TRUE,-0.1136,"[-0.323, +0.096]",0.287,0.629,FALSE,0.0864
GDC_Grade4_CPTAC,CD274,CD274 (PD-L1),68,129,2.8411,2.7804,0.061,0.003,0.974,0.974,FALSE,0.0841,"[-0.207, +0.376]",0.57,0.629,FALSE,0.0451
GDC_Grade4_CPTAC,PDCD1LG2,PDCD1LG2 (PD-L2),68,129,3.4927,3.2993,0.193,0.109,0.21,0.491,FALSE,0.1914,"[-0.063, +0.446]",0.139,0.487,FALSE,0.0244
GDC_Grade4_CPTAC,CTLA4,CTLA4,68,129,0.6008,0.6502,-0.049,-0.031,0.724,0.974,FALSE,-0.0478,"[-0.229, +0.133]",0.603,0.629,FALSE,0.008
GDC_Grade4_CPTAC,TIGIT,TIGIT,68,129,1.3659,1.3025,0.064,0.003,0.972,0.974,FALSE,-0.0454,"[-0.231, +0.140]",0.629,0.629,FALSE,0.0038
