pair_id,rna_file_id,status,n_genes,n_duplicated
1,a282f56a-0884-40d2-b099-acf15dead7c7,ok,59427,1233
2,ddda9728-45af-4d0b-b6de-0c85e3a93ff8,ok,59427,1233
3,146ff077-a728-492d-a33b-b8e4ccaa16f1,ok,59427,1233
4,f2298168-e5da-464b-9a5f-d1f6a01e4068,ok,59427,1233
5,97a3cfa9-1504-406d-819c-c75fa4e42c24,ok,59427,1233
6,2a54e344-4f90-4de3-a507-d4667aa07728,ok,59427,1233
7,63dd6d04-3055-49d1-b666-3f8ca739edc3,ok,59427,1233
8,35bb846d-310e-4750-a13d-f051ee420d4f,ok,59427,1233
9,2c7ecb00-2262-45c0-bf5e-8ad2c4ca2c8e,ok,59427,1233
10,a065734c-d1d5-410b-8ed3-7f9e144dc90d,ok,59427,1233
11,24e48951-3bc0-44ff-afb2-a44eac9cf537,ok,59427,1233
12,74bb3ac7-66ab-4389-94fd-0d9693c7c3d1,ok,59427,1233
13,1479d34c-7226-4f50-a3bb-e646b5dd9a47,ok,59427,1233
14,4234539e-d8f7-4408-b6f3-e2f5476e38ff,ok,59427,1233
15,d07fba61-ff49-4349-b090-5dd81af96ef6,ok,59427,1233
16,f549754c-a2b3-4970-aa03-39e5e31f49d8,ok,59427,1233
17,8a7434b9-1690-4026-8084-ebc49a4f813b,ok,59427,1233
18,23505fd3-8a7f-40ea-82e7-b5b6f7557857,ok,59427,1233
19,803a721f-ae8a-4bb3-8b81-495544ea3c4e,ok,59427,1233
20,19a294f1-350f-4cbc-b451-5083a25a2beb,ok,59427,1233
21,d6d2876d-9624-4f5f-9a5a-366cbc5889d1,ok,59427,1233
22,d3944323-90ae-4db4-895c-b8e9dd7cfb40,ok,59427,1233
23,03adfb2d-63a4-43fb-87ae-0d174116490e,ok,59427,1233
24,cae5e7a1-9394-4aa6-bad0-6e9fa31e73b7,ok,59427,1233
25,3e0184b4-cc2d-4956-96b1-71b4ae79e4d4,ok,59427,1233
26,0a2571b8-6932-487c-9190-1fbe4e1728d9,ok,59427,1233
27,c6a93a2c-a832-40b4-a335-f01b6aa22f3c,ok,59427,1233
28,c18e0d24-80d2-4164-b456-46350af32cc0,ok,59427,1233
29,e31db1ec-c949-488a-a44c-3b75d867a77d,ok,59427,1233
30,c6152857-4bda-4a48-abdc-346b5752ba0e,ok,59427,1233
31,8723c7c0-1c79-45f5-ab15-d4a54a58440c,ok,59427,1233
32,4759bd5b-043d-4348-943c-39fe8434941c,ok,59427,1233
33,2eecdfac-0657-4e12-8312-56f8c59ac698,ok,59427,1233
34,88021d16-b553-4543-8e2b-e693c01a277d,ok,59427,1233
35,79f28022-1bbf-4a4a-bca1-f3e3b51442c6,ok,59427,1233
36,ced38b35-e7cd-49de-be9e-ba150ebe972d,ok,59427,1233
37,ab40f4b4-3eab-484e-bef3-7fa916a9cb9f,ok,59427,1233
38,6316a950-ba08-4f1d-bbb7-b67329acf87c,ok,59427,1233
39,7b089561-d449-4b86-bff0-6aa5eed1c8de,ok,59427,1233
40,9512ac3b-38d0-41fd-b3a9-a6a9f13cbb54,ok,59427,1233
41,9066b51d-b57f-484b-95ef-74f4a7a6880a,ok,59427,1233
42,6a841a0e-844a-455a-832b-a6cccdd6972b,ok,59427,1233
43,6a45f231-e207-4e03-8951-ee12f22364f3,ok,59427,1233
44,9e739f95-8038-4d85-9d61-84bd520b8f63,ok,59427,1233
45,2c75e8fe-f58a-4cea-bd83-20fb0374a128,ok,59427,1233
46,af44aa49-f28e-4a03-bc22-9f99aef5b210,ok,59427,1233
47,158153ce-a7f7-4e5f-b83a-1cfcf9a0b47a,ok,59427,1233
48,6d0c91ea-55dd-4c1c-b7b0-503957001490,ok,59427,1233
49,b32639d9-5855-415b-abbd-86f94b9b1832,ok,59427,1233
50,7f4c77cb-a49e-408f-a649-d5f333042325,ok,59427,1233
51,ac7e9e0c-1eea-4ac7-9da6-bea4036a17f3,ok,59427,1233
52,8653684f-c022-4acf-92ac-62759dc4a99f,ok,59427,1233
53,d6c3d97d-c032-4c98-8ad8-7df13b6c9f79,ok,59427,1233
54,3491bc61-f79b-4fcf-93c8-577fb6cb7971,ok,59427,1233
55,c5cbbd7b-a31b-4db7-a71b-ffb1140d7599,ok,59427,1233
56,b679ed5e-e8a8-44fc-af8e-9730fed91838,ok,59427,1233
57,bcf37fc6-ef72-4fc0-9567-c731400ec6f7,ok,59427,1233
58,250c72dd-eeb3-4b45-a26c-cb72ede81bcc,ok,59427,1233
59,dff492f1-7fdc-4ff6-b868-c355cedd6cad,ok,59427,1233
60,c577dbcb-4a47-479f-94d7-c0973492f1c6,ok,59427,1233
61,d55de9b7-8baf-4628-9c2f-00c53f2d80be,ok,59427,1233
62,8a01f93c-19f3-4399-b63a-b0bd2d132d6f,ok,59427,1233
63,77a1aa77-410d-4417-b259-2f9bfc38c138,ok,59427,1233
64,556b67e4-2987-45a0-978f-2ca76a50fab4,ok,59427,1233
65,0a2a899a-5dcb-44dd-aab7-5b13001c3e02,ok,59427,1233
66,ea69f170-b197-4538-a182-54f05d80f0bc,ok,59427,1233
67,ff3cfce9-61a3-4c0a-808b-eaa13955ca6b,ok,59427,1233
68,51e56ffc-afc4-4342-89b0-010d3e536ed7,ok,59427,1233
69,abf367b5-41fc-42f0-8b08-16f58930e78c,ok,59427,1233
70,7650dbf6-6782-4043-a99a-4e3fe299f03c,ok,59427,1233
71,fd1fe541-61b7-4556-807c-6ef4d3608008,ok,59427,1233
72,eb1f3e1c-e307-4f4a-9b3e-5d1462d782aa,ok,59427,1233
73,f00aa8f3-6acb-49bb-ae65-bfc0008fa52e,ok,59427,1233
74,4b5a3053-b06d-4b3a-9460-54bd39453502,ok,59427,1233
75,cf8a56c9-fd42-4f5e-b9bb-b25896ce9a5f,ok,59427,1233
76,e67af2ff-1da7-4f26-88f0-6cba812ff306,ok,59427,1233
77,1a519c62-8e59-4004-8250-a860e6c53f4e,ok,59427,1233
78,9173ab2e-758c-446c-9b0c-435265cf8462,ok,59427,1233
79,73a770c4-bb92-44f5-b3c1-cc9a60536a6b,ok,59427,1233
80,cbc74c15-3a01-4eca-8a35-4d3b0d0ccab4,ok,59427,1233
81,69cb65ea-67fc-4d62-9b16-6c6901cf0761,ok,59427,1233
82,8fcc58b7-834f-43df-b0a5-375e59dc3bed,ok,59427,1233
83,53061e36-95a1-48a3-94dd-0cb6cee4caea,ok,59427,1233
84,ffaca8b3-a2d7-42dc-9d42-920a38fe2147,ok,59427,1233
85,837fbf69-20e7-4395-96ce-c67cd7b294b0,ok,59427,1233
86,3f79a944-6621-4820-b93f-ae791bc07917,ok,59427,1233
87,94ed30cb-750d-4053-8a68-86159fbc97ac,ok,59427,1233
88,b8c20797-44bb-4242-9a57-5f13cf6aef67,ok,59427,1233
89,b65e20ec-c7d5-488f-91b8-5f46ceeff8f0,ok,59427,1233
90,4d73cbe9-34c3-47e8-a808-206b60cb78fa,ok,59427,1233
91,d3a5fae3-7ac9-478d-ac80-5ba3f2af75f6,ok,59427,1233
92,cf6e38ad-bf51-4314-8cb0-e50f95aee9ff,ok,59427,1233
93,d20cf786-ccae-4aba-a46b-06355adf7e0a,ok,59427,1233
94,ac87ca70-c4f5-4ad5-83de-e51bc3db5e59,ok,59427,1233
95,79004a29-facf-444c-82e4-7f2b0444e11e,ok,59427,1233
96,1f1d615b-a488-47b0-84ea-d8d55846ad07,ok,59427,1233
97,0d0e09e2-f8bd-459a-b8a3-a3d3153d613e,ok,59427,1233
98,474a4fe1-6930-4306-a9da-1b96621f1e22,ok,59427,1233
99,95c405c6-ca3a-402a-8618-f68ff36d0146,ok,59427,1233
100,c98764c8-ffc9-4981-bba5-98226fc3f744,ok,59427,1233
101,61e22db8-4196-4d4a-9bd2-4741e35d1687,ok,59427,1233
102,2b8002fa-b726-4708-81f3-4835e9e827a8,ok,59427,1233
103,d5485df7-7ebc-4610-991e-b91b70a38c3e,ok,59427,1233
104,38d3dd3f-a75c-4c2c-b6b5-5211766c2639,ok,59427,1233
105,129572ca-ded1-46f8-beb7-ef394008fb5f,ok,59427,1233
106,7db26754-b3ec-42d9-851f-992763dafe95,ok,59427,1233
107,88e0a449-4b87-4407-be02-88e5244fd4f7,ok,59427,1233
