score,beta_tp53,se_tp53,p_tp53,r2_adj,p_tp53_adj
HALLMARK_G2M_CHECKPOINT,0.027952460398871948,0.005858696815200839,2.5000588276991844e-6,0.0651769883449993,1.3147354805874923e-5
HALLMARK_E2F_TARGETS,0.02950273876323415,0.006197531436272324,2.6294709611749847e-6,0.10171172868315315,1.3147354805874923e-5
HALLMARK_MYC_TARGETS_V1,0.009540725949912367,0.0020459426344839014,4.139544239563758e-6,0.126383776695292,1.3798480798545861e-5
HALLMARK_MITOTIC_SPINDLE,0.011679968841878401,0.0026988218139867843,1.8677340989890296e-5,0.09548075573775938,4.669335247472574e-5
HALLMARK_MYC_TARGETS_V2,0.013225735765518106,0.003350312762890314,9.194001812523486e-5,0.430991166322804,1.8388003625046973e-4
HALLMARK_ADIPOGENESIS,-0.008464748915658425,0.002585223484763136,0.0011433294421025122,0.4633053233066058,0.0019055490701708536
HALLMARK_BILE_ACID_METABOLISM,-0.011001571689454924,0.0042090855304884435,0.009263404233579553,0.3725266964735894,0.01323343461939936
HALLMARK_KRAS_SIGNALING_UP,-0.01262422539501615,0.005657986817652246,0.026171838698030733,0.1719277157525616,0.03271479837253842
HALLMARK_IL2_STAT5_SIGNALING,-0.010719636866820488,0.005306573810439504,0.043984671617748744,0.22867608774975534,0.04887185735305416
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.006884044746849803,0.003676462329430034,0.061808399833381725,0.3035306564498226,0.061808399833381725
