score,beta,se,t_value,p_value,r2_adj,p_adj
HALLMARK_MYC_TARGETS_V1,8.448323047018699,1.3768427682587812,6.136011490769449,1.895146571745584e-9,0.11188334073905482,9.66524751590248e-8
HALLMARK_WNT_BETA_CATENIN_SIGNALING,4.596660887332613,0.7846278421820125,5.858396350745748,9.191982839135898e-9,0.10562217936908136,2.343955623979654e-7
HALLMARK_KRAS_SIGNALING_DN,2.8265350398961058,0.5352327851683625,5.2809452601207765,2.0284434398415386e-7,0.09327368897778698,3.4483538477306157e-6
HALLMARK_APICAL_SURFACE,3.3768446600692106,0.6501041355691223,5.194313457355584,3.1544271001229353e-07,0.09150405592464017,4.021894552656743e-6
HALLMARK_MYC_TARGETS_V2,4.298566494897872,0.8578789485275595,5.010691196322997,7.883635531224439e-7,0.08782801649973049,8.041308241848927e-6
HALLMARK_DNA_REPAIR,5.701458445015639,1.27561449674729,4.469577963839295,9.993093110746886e-6,0.07761058433884471,8.494129144134854e-5
HALLMARK_ALLOGRAFT_REJECTION,1.4010663538023886,0.3301111508674464,4.244226073917073,2.679246842953136e-5,0.07363861719389364,1.8025501722358404e-4
HALLMARK_INTERFERON_ALPHA_RESPONSE,1.7188260318292088,0.4061852729718643,4.231630603575006,2.827529681938573e-5,0.07342169576124424,1.8025501722358404e-4
HALLMARK_ESTROGEN_RESPONSE_LATE,2.506627163846439,0.5996229076962697,4.180339229328001,3.5162187772846764e-5,0.07254396888010706,1.99252397379465e-4
HALLMARK_E2F_TARGETS,1.9150304023889346,0.46425668346993,4.124938790489101,4.43861745615401e-5,0.07160611564402097,2.263694902638545e-4
HALLMARK_G2M_CHECKPOINT,1.9859700452918976,0.4914214190075324,4.041276933558847,6.279097598368618e-5,0.07021004508144224,2.91121797742545e-4
HALLMARK_UV_RESPONSE_UP,3.5180281469207464,0.9085502036990024,3.8721340137261686,1.2433747707654076e-4,0.06746271717695695,5.148528739350449e-4
HALLMARK_INTERFERON_GAMMA_RESPONSE,1.5596512846198374,0.40421169447372446,3.8585011417110833,1.3123700708148202e-4,0.06724570810205044,5.148528739350449e-4
HALLMARK_PI3K_AKT_MTOR_SIGNALING,5.027187914225874,1.397394820388468,3.5975429713045193,3.578660381118063e-4,0.06322108113140812,0.0012234984871594095
HALLMARK_SPERMATOGENESIS,2.5155836650103462,0.6995389238687286,3.596059603228606,3.598524962233558e-4,0.06319891337379235,0.0012234984871594095
HALLMARK_PANCREAS_BETA_CELLS,1.1260106836536221,0.3171440799750607,3.5504704478234888,4.261953286972061e-4,0.06252157241200362,0.0013584976102223444
HALLMARK_ESTROGEN_RESPONSE_EARLY,2.2940659188932493,0.6764537236503063,3.3913124263902636,7.586874446711842e-4,0.060217319325247654,0.0021854523203719144
HALLMARK_APICAL_JUNCTION,2.7235061995747434,0.8041868311538327,3.386658540114498,7.713361130724404e-4,0.06015136508476593,0.0021854523203719144
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,4.5446941300460875,1.5305554522088414,2.9693103399078757,0.0031485982995722536,0.05457169238303272,0.008451500698851838
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.9176996449032022,0.3421327425743367,2.682291200772196,0.0075884933553376326,0.05112691610246012,0.019350658056110963
HALLMARK_IL2_STAT5_SIGNALING,1.4483953985064622,0.5598681422083058,2.5870294973268346,0.010002029026929093,0.05005583814813386,0.024290641922542083
HALLMARK_MYOGENESIS,1.74848762612524,0.6899604191463485,2.5341854077492605,0.011618308923697265,0.049477380115831915,0.02693335250493457
HALLMARK_GLYCOLYSIS,2.2866349309440692,0.9513801915116769,2.4034922645496386,0.016654029553838892,0.04809517204142655,0.036928500315034064
HALLMARK_APOPTOSIS,1.725031239197143,0.7268537306588463,2.3732852518119607,0.018061270229460715,0.04778556346362062,0.03764743301113955
HALLMARK_COAGULATION,1.308356459247934,0.5531665852250476,2.365212386636927,0.018454624025068405,0.04770344945738292,0.03764743301113955
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,1.8876597179608627,0.8344910600784665,2.26204905991847,0.02418369757590188,0.04667755352571712,0.04743725293734599
HALLMARK_COMPLEMENT,1.2159790893850313,0.5645900487426038,2.153738083221859,0.03180572729689505,0.04564747306310446,0.06007748489413509
HALLMARK_XENOBIOTIC_METABOLISM,1.5227522308448729,0.7430626054486945,2.0492919703924097,0.04102873850772866,0.04470004714413911,0.07473091656764863
TumorPurity,-0.4670328932127758,0.23094641892538362,-2.0222564843651862,0.043757172881479484,0.04446218609817243,0.07695226955018805
HALLMARK_MTORC1_SIGNALING,2.329744887900403,1.1710331445798312,1.989478178891614,0.047269920968111084,0.044177880406005454,0.08035886564578884
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.8310610721729219,0.432877958239997,1.919850748584809,0.05552596649300196,0.043588838498920035,0.09134917068203549
HALLMARK_PEROXISOME,1.9180060117884132,1.1277164850245038,1.7007874206492046,0.0896927022893755,0.04186829143834303,0.1429477442736922
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.6448922932327272,0.388879375656108,1.6583350354970108,0.09796578298044487,0.04155829211202089,0.15140166460614207
HALLMARK_FATTY_ACID_METABOLISM,1.659181566986588,1.0290356226140962,1.6123655299431805,0.10760268812611058,0.04123122859425765,0.16140403218916588
HALLMARK_INFLAMMATORY_RESPONSE,0.5275316843901698,0.3329025114262539,1.584643150122438,0.11376913832536209,0.041038328982056504,0.16577788727409903
HALLMARK_P53_PATHWAY,1.1313489666744956,0.7808351497257867,1.4488960532473496,0.14808214396448646,0.040141043308294044,0.2097830372830225
HALLMARK_ANDROGEN_RESPONSE,1.3555658580604573,1.090264558878163,1.2433366259793663,0.21440890667651788,0.03893252511495837,0.29475947976509626
HALLMARK_OXIDATIVE_PHOSPHORYLATION,-2.048823181950785,1.6666779235193057,-1.2292856064383173,0.219624710413209,0.0388565538081298,0.29475947976509626
HALLMARK_TGF_BETA_SIGNALING,1.2712231969580408,1.0639394733125362,1.1948266126456746,0.23280135883097658,0.038673846390268385,0.3044325461635848
HALLMARK_PROTEIN_SECRETION,-1.7682371808363042,1.518512287872757,-1.1644536530641976,0.2448740662482388,0.03851705547673068,0.31221443446650443
HALLMARK_UV_RESPONSE_DN,-1.0631066055211362,0.9892427258840423,-1.074667094035071,0.2831154510340136,0.03807689333653008,0.35216800006669985
HALLMARK_KRAS_SIGNALING_UP,0.5090566672093364,0.5279954109403491,0.9641308554229986,0.33551231910728574,0.037583009959244684,0.40740781605884696
HALLMARK_HEME_METABOLISM,-1.0671638658810436,1.1902214991134346,-0.8966094686375154,0.37041986888842227,0.03730744758581117,0.43764368832577427
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.8734543157158957,1.0068043270554206,0.8675512135217667,0.3861151117233298,0.03719496752683882,0.43764368832577427
HALLMARK_HEDGEHOG_SIGNALING,0.6304972080961365,0.7268179461117983,0.8674761148497483,0.38615619558156555,0.037194681598428314,0.43764368832577427
HALLMARK_NOTCH_SIGNALING,0.7844095662414061,0.9398940511772413,0.834572327869203,0.40441349955061434,0.037071770216489,0.4483714886322029
HALLMARK_MITOTIC_SPINDLE,0.641801963721081,1.0908579924229367,0.5883460250362706,0.5566033077320667,0.03630212398639887,0.6039738020071361
HALLMARK_ANGIOGENESIS,-0.25511683477003205,0.4795898601056732,-0.53194793299804,0.5950317612986564,0.036163198248274075,0.6322212463798225
