score,beta_tp53_base,beta_tp53_test,delta_beta,delta_beta_pct,p_tp53_test,beta_score,p_score,r2_adj_test,p_score_adj
HALLMARK_G2M_CHECKPOINT,0.2405840715274458,0.20073344259531686,-0.03985062893212893,-16.564117765204074,1.1139123586631867e-4,1.5930405687255247,2.9103595922502963e-4,0.3885609700286179,0.002837171953618085
HALLMARK_MYC_TARGETS_V1,0.2405840715274458,0.20149696581534124,-0.03908710571210455,-16.246755433119148,1.0175313815709616e-4,4.6107582487886365,2.3315984703289495e-4,0.38914847702412936,0.002837171953618085
HALLMARK_E2F_TARGETS,0.2405840715274458,0.20292910645864468,-0.037654965068801116,-15.651478848842013,9.584697268598944e-5,1.430654841563421,5.87593266895225e-4,0.3867028592151873,0.003656990549673793
HALLMARK_MYC_TARGETS_V2,0.2405840715274458,0.20866825747637158,-0.031915814051074215,-13.265971370608076,5.266620243158267e-5,2.6845975510683253,3.4705849199035115e-4,0.3880948423613457,0.002837171953618085
HALLMARK_ADIPOGENESIS,0.2405840715274458,0.21628472278836847,-0.024299348739077326,-10.100148602857633,3.2447975442163447e-5,-3.2143194075781603,0.008808015610596619,0.3796382694125028,0.02642404683178986
HALLMARK_BILE_ACID_METABOLISM,0.2405840715274458,0.21769567907810064,-0.022888392449345152,-9.513677403507593,2.323686879095495e-5,-2.20540572171685,9.240625887339294e-4,0.38550911563931134,0.004284290184130036
HALLMARK_IL2_STAT5_SIGNALING,0.2405840715274458,0.2220868505186767,-0.018497221008769105,-7.688464531891897,1.630458924613372e-5,-2.6931530264601764,0.003246170318767922,0.3822180634259045,0.013271034482517045
HALLMARK_MITOTIC_SPINDLE,0.2405840715274458,0.2269194262240693,-0.013664645303376494,-5.679779719671771,1.60291324070011e-5,1.2267092667878048,0.18746062558928545,0.3722450750699875,0.28119093838392817
HALLMARK_KRAS_SIGNALING_UP,0.2405840715274458,0.22721016870127062,-0.013373902826175177,-5.558931121776067,1.1053609100630135e-5,-1.6091940301639014,0.021520743870225456,0.3773718352979969,0.04771991032093471
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.2405840715274458,0.2276775050867947,-0.01290656644065108,-5.364680362547901,8.547461223498558e-6,2.5265930611363245,7.170569705242732e-4,0.38617744132552967,0.003656990549673793
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.2405840715274458,0.22797610304042898,-0.012607968487016813,-5.2405665956893985,9.18006730371581e-6,-3.97969650629705,0.0044519265183301715,0.38139756595235264,0.01564286555604907
HALLMARK_P53_PATHWAY,0.2405840715274458,0.2282306169140634,-0.012353454613382386,-5.134776602187941,1.1863491241098653e-5,-1.5860398011626038,0.11054595219247491,0.37341811152276605,0.18068314664885904
HALLMARK_ANGIOGENESIS,0.2405840715274458,0.2290592260455169,-0.011524845481928891,-4.7903609780808525,8.703210158621277e-6,-1.3325865475693497,0.011193274441763466,0.37902553277369944,0.03171427758499649
HALLMARK_INFLAMMATORY_RESPONSE,0.2405840715274458,0.22906090828234005,-0.011523163245105744,-4.789661747740097,7.238399738543588e-6,-2.0977790937197858,3.8941575833973714e-4,0.38779012541673497,0.002837171953618085
HALLMARK_COMPLEMENT,0.2405840715274458,0.2297374283569164,-0.010846643170529385,-4.508462718111412,7.839201438420986e-6,-2.5382215316201333,0.006147568038365494,0.38056300364073103,0.01959537312229001
HALLMARK_SPERMATOGENESIS,0.2405840715274458,0.23119307395358166,-0.009390997573864135,-3.9034161797335827,7.944984055261663e-6,1.1524839717968165,0.06954884770101925,0.37449973008550574,0.13167040270381897
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.2405840715274458,0.24889639225572205,0.008312320728276257,3.4550586310648534,1.3901725009002893e-6,-1.493848980388351,0.01663086791183908,0.3780204591320072,0.042408713175189655
HALLMARK_PROTEIN_SECRETION,0.2405840715274458,0.24690641527030568,0.006322343742859893,2.627914517665248,1.1975510586288081e-6,-5.49791895392645,4.8087741838032933e-5,0.3933415165294092,0.00122623741686984
HALLMARK_XENOBIOTIC_METABOLISM,0.2405840715274458,0.23436694434884675,-0.006217127178599041,-2.5841807145115974,6.1464744588673455e-6,-1.111602147236081,0.1968213607436269,0.37214105842552514,0.2867968399407135
HALLMARK_APICAL_SURFACE,0.2405840715274458,0.24644520115827376,0.005861129630827966,2.436208512731621,1.9157341750738313e-6,1.0931695064158664,0.10795911764942831,0.3734723590265844,0.18068314664885904
HALLMARK_DNA_REPAIR,0.2405840715274458,0.2348746305237243,-0.005709441003721505,-2.3731583589357337,5.380085475384488e-6,1.9982271510324803,0.07544428337117805,0.374307021957453,0.13741637328321715
HALLMARK_FATTY_ACID_METABOLISM,0.2405840715274458,0.23493584609542242,-0.005648225432023368,-2.3477137934208665,5.454669015155932e-6,-1.5679691180105177,0.10337292925651806,0.3735721231348167,0.18068314664885904
HALLMARK_ANDROGEN_RESPONSE,0.2405840715274458,0.23532801912911733,-0.005256052398328465,-2.1847050658666967,5.263272797477286e-6,-1.804409105499064,0.11336981750516646,0.37336045988566446,0.18068314664885904
HALLMARK_NOTCH_SIGNALING,0.2405840715274458,0.23556402951010316,-0.00502004201734263,-2.086606143736305,4.9863311126672386e-6,-1.5687383352400903,0.06970786025496298,0.3744943066491059,0.13167040270381897
HALLMARK_GLYCOLYSIS,0.2405840715274458,0.2359877277371983,-0.004596343790247481,-1.9104938082832017,5.3163800115415175e-6,0.9594617812162339,0.2987260394632325,0.3712898868772092,0.41175751385472587
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.2405840715274458,0.23630722216977404,-0.0042768493576717526,-1.7776943130600606,4.353647607523335e-6,-1.4160751931835167,0.020673410465034944,0.37747259095959174,0.04771991032093471
HALLMARK_APOPTOSIS,0.2405840715274458,0.23644783473441183,-0.004136236793033959,-1.7192479812871146,4.202501753642314e-6,-2.6743577952926714,0.013113134263536679,0.3786225395535533,0.0351984130231774
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.2405840715274458,0.23664295865170476,-0.003941112875741032,-1.6381437269388925,4.6223400901737e-6,-0.8203191956366674,0.1315647444419939,0.3730232696153658,0.2033273323194451
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.2405840715274458,0.23684879050735214,-0.003735281020093656,-1.552588663238886,4.225902978276198e-6,-1.9922878777723123,0.03358014286036227,0.3762650002856197,0.06850349143513902
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.2405840715274458,0.23707583576500615,-0.0035082357624396376,-1.4582161404810288,5.20362288678255e-6,0.863770223308989,0.5480495987805176,0.37024376096656286,0.6352393076774182
HALLMARK_KRAS_SIGNALING_DN,0.2405840715274458,0.24404409144392292,0.003460019916477125,1.4381749774662063,2.141382559510396e-6,1.0742652606764869,0.024794265230550512,0.3770177035439366,0.05268781361491984
HALLMARK_HEME_METABOLISM,0.2405840715274458,0.23726599778686777,-0.0033180737405780203,-1.3791743233506193,3.202131164189863e-6,-4.228661989518903,2.2361565738439102e-4,0.3892592749972996,0.002837171953618085
HALLMARK_HYPOXIA,0.2405840715274458,0.23812546432436407,-0.0024586072030817196,-1.0219326605756782,4.215905661905102e-6,-0.640062666785395,0.3829287825468669,0.3708265872304479,0.4763260465826881
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.2405840715274458,0.2429747804585238,0.0023907089310780116,0.9937103964945078,1.977711136382724e-6,-2.636160314539462,6.840751180644321e-4,0.38630163686599206,0.003656990549673793
HALLMARK_ALLOGRAFT_REJECTION,0.2405840715274458,0.23841995771143448,-0.0021641138160113094,-0.8995249778057013,3.554414287940694e-6,-1.5068998522439805,0.02102923404968262,0.377429771004657,0.04771991032093471
HALLMARK_MTORC1_SIGNALING,0.2405840715274458,0.2426567916478993,0.0020727201204535084,0.8615367207371636,2.961817902461825e-6,-0.515461314622069,0.6337962207092518,0.37004879777554145,0.7183023834704854
HALLMARK_APICAL_JUNCTION,0.2405840715274458,0.2423637923661814,0.0017797208387356211,0.7397500704998214,2.8849401210197234e-6,0.5570787117920496,0.5171433704107193,0.37032932009270036,0.6202401531600837
HALLMARK_UV_RESPONSE_DN,0.2405840715274458,0.2391003230720798,-0.0014837484553660019,-0.6167276353525075,3.064324639690664e-6,-2.834050602430138,0.0033828127112298352,0.38211077017027895,0.013271034482517045
HALLMARK_MYOGENESIS,0.2405840715274458,0.24178145359491002,0.0011973820674642255,0.4976979813593472,3.418369363945274e-6,0.1434032788675115,0.8349228172708952,0.3697814371348983,0.8690012996084828
HALLMARK_ESTROGEN_RESPONSE_LATE,0.2405840715274458,0.24173487989795103,0.0011508083705052408,0.4783393859779934,2.930261613848304e-6,0.6292079584080147,0.3112132245995038,0.3712108713716413,0.417680906699334
HALLMARK_COAGULATION,0.2405840715274458,0.2394418288974007,-0.0011422426300450872,-0.4747789921390454,3.6337170552345093e-6,-0.684022816738783,0.3545815416545919,0.37096581138439944,0.4520914656096046
HALLMARK_HEDGEHOG_SIGNALING,0.2405840715274458,0.24002816895761372,-5.559025698320674e-4,-0.23106374678202674,3.5370560784754723e-6,-0.18917935679023942,0.7579361790170107,0.36985655624141833,0.8224413857418627
HALLMARK_TGF_BETA_SIGNALING,0.2405840715274458,0.24003508247152158,-5.489890559242094e-4,-0.22819010936124293,3.4701689322892645e-6,-0.7392734800268388,0.5229475801153647,0.3703125619502565,0.6202401531600837
