"Gene_Set","Beta_TP53_Base","Beta_TP53_Test","Delta_Beta_Pct","P_TP53_Test","Beta_Score","P_Score_Nominal","P_Score_BH_Adj","AdjR2_Test"
"G2m Checkpoint",0.2406,0.2007,-16.6,"1.11e-04","1.593","2.91e-04","2.84e-03",0.389
"Myc Targets V1",0.2406,0.2015,-16.2,"1.02e-04","4.6108","2.33e-04","2.84e-03",0.389
"E2f Targets",0.2406,0.2029,-15.7,"9.58e-05","1.4307","5.88e-04","3.66e-03",0.387
"Myc Targets V2",0.2406,0.2087,-13.3,"5.27e-05","2.6846","3.47e-04","2.84e-03",0.388
"Adipogenesis",0.2406,0.2163,-10.1,"3.24e-05","-3.2143","8.81e-03","2.64e-02",0.38
"Bile Acid Metabolism",0.2406,0.2177,-9.5,"2.32e-05","-2.2054","9.24e-04","4.28e-03",0.386
"Il2 Stat5 Signaling",0.2406,0.2221,-7.7,"1.63e-05","-2.6932","3.25e-03","1.33e-02",0.382
"Mitotic Spindle",0.2406,0.2269,-5.7,"1.60e-05","1.2267","1.87e-01","2.81e-01",0.372
"Kras Signaling Up",0.2406,0.2272,-5.6,"1.11e-05","-1.6092","2.15e-02","4.77e-02",0.377
"Wnt Beta Catenin Signaling",0.2406,0.2277,-5.4,"8.55e-06","2.5266","7.17e-04","3.66e-03",0.386
"Oxidative Phosphorylation",0.2406,0.228,-5.2,"9.18e-06","-3.9797","4.45e-03","1.56e-02",0.381
"P53 Pathway",0.2406,0.2282,-5.1,"1.19e-05","-1.586","1.11e-01","1.81e-01",0.373
"Angiogenesis",0.2406,0.2291,-4.8,"8.70e-06","-1.3326","1.12e-02","3.17e-02",0.379
"Inflammatory Response",0.2406,0.2291,-4.8,"7.24e-06","-2.0978","3.89e-04","2.84e-03",0.388
"Complement",0.2406,0.2297,-4.5,"7.84e-06","-2.5382","6.15e-03","1.96e-02",0.381
"Spermatogenesis",0.2406,0.2312,-3.9,"7.94e-06","1.1525","6.95e-02","1.32e-01",0.374
"Interferon Alpha Response",0.2406,0.2489,3.5,"1.39e-06","-1.4938","1.66e-02","4.24e-02",0.378
"Protein Secretion",0.2406,0.2469,2.6,"1.20e-06","-5.4979","4.81e-05","1.23e-03",0.393
